"type","horse","CO2"
"forwards",184,326.2695587
"forwards",271,340.35304
"forwards",271,219.886
"forwards",271,339.33748
"forwards",271,217.908
"forwards",184,324.29538
"forwards",184,193.09
"forwards",184,321.68836
"forwards",184,194.541
"forwards",271,366.93647
"forwards",271,243.311
"forwards",271,367.29376
"forwards",271,244.28
"centers",172,340.22632
"centers",172,236.161
"centers",360,290.1
"centers",360,507.89322
"centers",172,359.7397
"centers",172,359.7397
"centers",172,359.7397
"centers",172,238.769
"centers",172,238.769
"centers",172,238.769
"centers",172,363.5842
"centers",172,363.5842
"centers",172,363.5842
"centers",172,239.86
"centers",172,239.86
"centers",172,239.86
"centers",290,377.9
"centers",290,249
"centers",290,268.2230611
"centers",290,421.9515798
"centers",360,531.4853879
"centers",360,319.9102261
"centers",172,384.45149
"centers",172,384.45149
"centers",172,384.45149
"centers",172,379.14767
"centers",172,379.14767
"centers",172,379.14767
"centers",172,259.406
"centers",172,259.406
"centers",172,259.406
"centers",172,259.268
"centers",172,259.268
"centers",172,259.268
"centers",470,563.07996
"centers",470,343.854
"centers",158,204.215
"centers",158,300.2058
"centers",158,214.56
"centers",158,304.24011
"centers",172,348.88845
"centers",172,277.615
"forwards",160,201.8611563
"forwards",160,290.5048957
"forwards",180,320.0806735
"forwards",180,206.2660626
"forwards",180,302.9025
"forwards",180,297.09834
"forwards",180,188.411
"forwards",180,297.86191
"forwards",180,188.072
"forwards",160,276.08782
"forwards",160,195.021
"forwards",160,278.0666
"forwards",160,194.168
"forwards",180,331.5249654
"forwards",180,216.1570644
"forwards",180,218.3723264
"centers",290,447.34155
"centers",290,318.829
"centers",290,302.756
"centers",290,426.39295
"guards",290,453.42397
"guards",290,309.365
"centers",290,429.94932
"centers",290,297.145
"centers",290,250.108
"centers",290,385.31775
"centers",290,388.56779
"centers",290,251.993
"centers",290,420.18817
"centers",290,257.66
"centers",290,417.7078
